Nr,Bezirk,Presseaussendungen,AnzeigenProTausend,Sicherheitsgefuehl
1,Innere Stadt,96,843,1.9
2,Leopoldstadt,113,146,2.03
3,Landstraße,77,84,1.9
4,Wieden,19,98,1.78
5,Margareten,42,115,2.01
6,Mariahilf,43,150,2.02
7,Neubau,47,196,1.82
8,Josefstadt,28,103,1.65
9,Alsergrund,35,88,1.9
10,Favoriten,158,98,2.33
11,Simmering,54,89,2.19
12,Meidling,56,126,2.19
13,Hietzing,24,88,1.94
14,Penzing,55,62,2
15,Rudolfsheim-Fünfhaus,72,150,2.22
16,Ottakring,71,100,2.2
17,Hernals,30,72,2.1
18,Währing,27,75,1.82
19,Döbling,26,104,1.85
20,Brigittenau,58,78,2.25
21,Floridsdorf,84,82,2.09
22,Donaustadt,98,75,2.09
23,Liesing,42,66,2.04
